"screen_name","lat","lon"
"MemphisCP",35.14414333,-90.04617767
"smarmur0",39.28922874,9.60036317
"kellyca17",33.90134,-112.132935
"mcorumm",41.06806865,28.99229912
"bselinbdr",41.06806865,28.99229912
"greensboro_nc",37.7767782,-122.41671493
"trendinaliaUS",38.8991,-77.029
"weareteamtrump",38.8940974,-77.0276216
"AppaloosaGuy",37.47472222,-84.51194444
"DonderolibtR",29.4490315,-98.4261331
"myboychf",40.8072618,-72.8533741
"AppaloosaGuy",37.47472222,-84.51194444
"myboychf",40.8072618,-72.8533741
"VeilleDeCM",48.8247021,2.2896839
"tomhinton25",43.46325,-80.52015
"DonderolibtR",29.4490315,-98.4261331
"VeilleDeCM",48.8246236,2.2897748
"VeilleDeCM",48.8242521,2.2896746
"brewfangrb",44.46571003,-88.12193665
"AppaloosaGuy",37.47472222,-84.51194444
"myboychf",40.8072618,-72.8533741
"AppaloosaGuy",37.47472222,-84.51194444
"magkel7",28.3314194,-81.3321828
"JohnDraper2011",42.13039542,-72.73963094
"AppaloosaGuy",37.47472222,-84.51194444
"SamLchua",15.45604,73.80375
"AppaloosaGuy",37.47472222,-84.51194444
"pbump",40.672497,-73.956787
"dahanbn",50.733351,7.0455
"AppaloosaGuy",37.47472222,-84.51194444
"SherriBergan",33.3750151,-112.5660313
"AppaloosaGuy",37.47472222,-84.51194444
"PairsonnalitesU",-26.11359294,28.05742188
"wade_spiker",38.1680058,-75.3904479
"Gemmaeccleston",53.3798891,-1.4749127
"ICanPlainlySee",27.96571312,-82.73894499
"JulesCarneiro",28.45613991,-81.48947536
"rchanakyapillai",19.4497498,72.7988522
"SanFranciscoCP",37.78678264,-122.41487603
"arnoldmccoy1391",36.4156826,-78.8523147
"Joseph_Santoro",38.9394,-77.0256
"AppaloosaGuy",37.47472222,-84.51194444
"c_rushton4",38.93440984,-76.9656711
"keksec__org",66.160507,-153.369141
"BuckleyFountain",37.5396497,-77.5216432
"trendinaliaUS",38.8991,-77.029
"ChitalianTravel",38.96426576,-77.07524561
"AppaloosaGuy",37.47472222,-84.51194444
"egeavcioglu",38.39270151,27.03822632
"taraosseck",38.59321,-90.21578
"SherriBergan",33.375067,-112.5661296
"DonderolibtR",30.2242736,-98.9309162
"LasVegasCP",36.16144999,-115.13946676
"LasVegasCP",36.16144999,-115.13946676
"myboychf",40.8072618,-72.8533741
"AppaloosaGuy",37.47472222,-84.51194444
"Chatter_ng",4.828516,7.003183
"beth6281964",44.958911,-122.9869148
"KilloughCNN",36.1220411,-115.16971561
"JDiamond1",36.1220411,-115.16971561
"AppaloosaGuy",37.47472222,-84.51194444
"SynergyStout",29.67981848,-95.53288808
"pbump",40.672497,-73.956787
"LasVegasCP",36.16144999,-115.13946676
"LasVegasCP",36.16144999,-115.13946676
"LasVegasCP",36.16144999,-115.13946676
"LasVegasCP",36.16144999,-115.13946676
"didierdelmer",51.611786,-0.001137
"WilliamJJolly",40.7142,-74.0064
"AppaloosaGuy",37.47472222,-84.51194444
"LottieAntonetti",36.0860709,-115.03006179
"meganmushovic",38.81276236,-89.95777705
"BYEAlyssa579",39.9793,-74.1675
"newyork24ore",40.77322938,-73.96105528
"MikePearce",40.70685537,-74.00974836
"tmj_mia_hrta",25.8433674,-80.4326521
"keksec__org",66.160507,-153.369141
"SheilaBlanchett",41.9267,-73.9131
"NickKalmanFN",40.4002,-104.706
"NickKalmanFN",40.4002,-104.706
"AmnaKhalid",29.72906453,-95.51446957
"AppaloosaGuy",37.47472222,-84.51194444
"SpanishPav",40.74527,-74.16331
"Odeneho_sarfo",9.99298283,-2.48065257
"keevakase",38.03887657,-78.61937359
"o_oftalmologica",25.8140353,-80.33956836
"nickhntz",40.76246983,-73.97391563
"Mavisays22",25.77538335,-80.19638174
"ct_la",34.0550217,-118.3752762
"FOX40",40.423314,-104.709132
"MatthewCriddle3",38.43541512,-78.87249626
"AppaloosaGuy",37.47472222,-84.51194444
"rasheencarbin",38.88508,-77.0949823
"RezOKC",52.9085211,-0.6342963
"40mjs",40.1097,-88.2042
"TrumpToronto",43.64927894,-79.38061656
"JBSPhotographer",40.7624283,-73.973794
"AppaloosaGuy",37.47472222,-84.51194444
"itsMe_Raquel_",26.70742591,-80.05043892
"TomDowney69",34.1013939,-118.342741
"myboychf",40.8145707,-73.0645164
"JeffM2001",38.89784677,-77.03955084
"AppaloosaGuy",37.47472222,-84.51194444
"CraigSampal",36.14924084,-115.33327349
"JM_ro",14.55801861,121.05427265
"greensboro_nc",37.7767782,-122.41671493
"ShaneGregory",25.77647015,-80.18657902
"jkruzel25",39.5009083,-119.8032196
"AppaloosaGuy",37.47472222,-84.51194444
"stevec50",33.64002,-117.710772
"pcdunham",30.00305975,-90.11999094
"talitaribeiro",40.72628,-73.98158
"pbump",40.672497,-73.956787
"AppaloosaGuy",37.47472222,-84.51194444
"KT_KellyR",34.21191415,-83.46650639
"shaggy56",25.6254022,-80.3732276
"JamilSmith",40.727396,-74.00764
"pbump",40.672497,-73.956787
"AppaloosaGuy",37.47472222,-84.51194444
"melisakcay7",41.0688751,28.9927333
"ComonCentsParty",38.68789074,-75.12447416
"shaggy56",25.6253274,-80.3732206
"beth6281964",44.958911,-122.9869148
"omarrashid",40.75604,-73.9869499
"AppaloosaGuy",37.47472222,-84.51194444
"Toronto_CP",43.64842391,-79.37536382
"AppaloosaGuy",37.47472222,-84.51194444
"keksec__org",66.160507,-153.369141
"hotmessenger",38.92008,-77.039775
"DetroitCP",42.33312717,-83.04848769
"DetroitCP",42.33312717,-83.04848769
"MiamiCP",25.78111669,-80.19240081
"VeilleDeCM",48.8245027,2.28910212
"VeilleDeCM",48.8246605,2.28910017
"AppaloosaGuy",37.47472222,-84.51194444
"ColumbusCP",39.96378925,-82.99527267
"legercharmagne1",36.22987335,-93.10829671
"flyelyfe",40.69571377,-73.92027413
"VictoriaInPhx",33.4806781,-112.0524343
"lynnlkatoa",47.61657446,-122.32112703
"smilingismyjoy",40.96962,-73.88759
"tmj_van_hrta",49.2863487,-123.1238079
"AppaloosaGuy",37.47472222,-84.51194444
"AppaloosaGuy",37.47472222,-84.51194444
"CassieLeuffen",32.82485239,-117.22900506
"shaggy56",25.6253131,-80.3731853
"ImMarek",33.66578833,-112.18615305
"11papyrus11",34.2630574,-118.3076098
"clouddancefest",53.8006108,-1.53290254
"kellygirl2004",27.29307501,-80.33144759
"magkel7",28.3313345,-81.3321605
"IndianapolisCP",39.76690667,-86.15650321
"realDonaldTrump",40.762423,-73.9751105
"greensboro_nc",36.07771224,-79.82085384
"theamazingaris",39.2518033,-76.73450771
"AppaloosaGuy",37.47472222,-84.51194444
"WadadliSavage",33.538885,-112.360176
"AppaloosaGuy",37.47472222,-84.51194444
"WashingtonCP",38.90181532,-77.03733586
